Sample	0h	6h	3d	7d	11d
SMED30003811	10.7643	11.5435	10.1188	11.2853	11.4302
SMED30003812	54.0373	55.8397	59.2621	61.3799	55.7237
SMED30003813	0.106972	0.0819796	0.355987	0.039673	0.112231
SMED30003814	0.774188	0.828233	0.567909	0.864818	0.914407
SMED30003815	0.588448	0.474235	0.438173	0.479698	0.5527
SMED30003816	59.7784	56.419	59.5905	64.2811	66.934
SMED30003817	3.0258	3.1705	4.64114	3.05238	3.84634
SMED30003818	13.4376	14.8172	15.885	16.6856	16.5307
SMED30003819	0.235335	0.181525	0.342308	0.113476	0.161395
SMED30003820	15.0651	15.1966	17.9337	14.9593	18.7901
SMED30003821	0.265873	0.14153	0.0381423	0.172048	0.10263
SMED30003822	5.58046	6.1778	6.26834	5.81157	6.51413
SMED30003823	0.00733597	0.00255195	0.00248489	0.00466784	0.0117253
SMED30003824	17.7089	16.6928	15.1475	18.6094	21.4364
SMED30003825	0.660785	0.71189	0.679319	1.08002	1.10019
SMED30003826	14.4611	15.8423	16.9637	13.5446	14.2304
SMED30003827	8.77472	8.57843	8.88499	9.47271	8.57285
SMED30003828	0.598373	0.603903	0.550869	0.552042	0.547142
SMED30003829	48.0687	51.091	50.8034	52.5263	56.2231
SMED30003830	2.02906	1.82956	1.66499	0.938564	1.0559
SMED30003831	29.3658	27.4987	26.5195	27.9087	29.7219
SMED30003832	0.193042	0.108073	0	0.00700577	0.0219294
SMED30003833	0	0.0364603	0.0174702	0	0
SMED30003834	23.0864	22.4691	20.039	22.1382	20.2353
SMED30003835	0.0553528	0.0289414	0.0551261	0.0744321	0.131637
SMED30003836	0.739096	1.0676	0.812043	1.00053	0.896287
SMED30003837	3.8956	4.23856	4.42515	2.94645	3.95632
SMED30003838	1.32515	1.54199	2.04024	2.15099	2.00257
SMED30003839	0.0477321	0.0159946	0.0583939	0.0395337	0.126348
SMED30003840	0.0470063	0.171849	0.125912	0.312261	0.205557
SMED30003841	0.854302	1.03978	1.22203	0.774309	0.794957
SMED30003842	0	0	0	0	0
SMED30003843	0.566022	0.482308	0.407775	0.370595	0.265283
SMED30003844	10.0333	9.38391	6.8951	7.02347	7.1911
SMED30003845	2.55996	2.83801	2.82881	2.41129	2.58357
SMED30003846	38.2329	40.4103	42.0616	40.8903	40.5432
SMED30003847	0.134293	0.115909	0.192953	0.125873	0.132486
SMED30003848	3.20938	3.06596	2.65817	2.27475	2.26563
SMED30003849	0.514793	0.604039	0.503077	0.564858	0.728838
SMED30003850	1.07175	1.3246	1.2494	1.31042	1.107
SMED30003851	17.0935	12.3377	0.756853	0.0790753	0.246548
SMED30003852	8.8955	8.8533	7.6357	11.0532	9.37049
SMED30003853	1.77082	1.88585	2.20287	2.30833	2.13917
SMED30003854	3.22026	2.29145	2.03484	2.99062	4.07832
SMED30003855	4.6811	4.96764	6.22063	3.86144	4.12007
SMED30003856	0.0529267	0.048337	0.0635997	0	0
SMED30003857	3.8553	3.50459	3.66196	2.31525	2.48625
SMED30003858	0.401147	0.413003	0.352272	0.547872	0.370368
SMED30003859	7.17971	10.1715	17.5511	11.8428	11.2835
SMED30003860	0.632787	0.575953	0.411452	0.449812	0.571036
SMED30003861	0.589667	0.594513	0.716924	0.641747	0.667497
SMED30003862	28.9384	24.498	34.186	31.6424	37.4611
SMED30003863	123.759	118.124	208.347	217.529	196.275
SMED30003864	0.269536	0.227272	0.388869	0.216821	0.206263
SMED30003865	0	0	0	0.0153577	0
SMED30003866	0.267529	0.161159	0.314733	0.243819	0.183668
SMED30003867	0.684836	0.777351	0.744678	0.740176	0.701748
SMED30003868	8.81147	9.76393	9.38401	10.4857	9.95068
SMED30003869	1.45281	1.44492	2.55788	2.8685	2.64792
SMED30003870	0.59188	0.622009	0.615201	0.791837	0.74598
SMED30003871	18.4284	17.0869	31.5666	31.8161	24.9476
SMED30003872	0.113098	0.047927	0.0791902	0.0338288	0.0267849
SMED30003873	27.7017	25.6731	9.29157	8.7543	8.99186
SMED30003874	25.8695	27.1941	32.4094	27.2522	27.8181
SMED30003875	1.49654	1.80007	2.04106	2.03674	1.9974
SMED30003876	3.19246	3.49404	3.61015	3.15433	3.91831
SMED30003877	0	0	0	0	0
SMED30003878	0.0162197	0.0762275	0.0354893	0.0184583	0.0093204
SMED30003879	0.52189	0.552091	0.620784	0.815231	0.546598
SMED30003880	17.3162	15.3386	20.1544	29.1051	28.5063
SMED30003881	6.18246	5.87458	5.41771	8.78234	8.15314
SMED30003882	0.500018	0.391783	0.620895	0.774042	0.692064
SMED30003883	0.408458	0.283146	0	0.0075995	0.00713067
SMED30003884	1.15357	1.50589	1.44245	1.27454	1.183
