Sample	0h	6h	12h	1d	2d	3d	5d	7d	9d	11d
SMED30014477	30.7772	32.7368	30.5448	30.4415	29.5737	29.2008	28.7305	26.5838	27.6209	26.2081
SMED30014478	0.188302	0.212708	0.102441	0.153016	0.112002	0.0909129	0.0253039	0.0578393	0.0363512	0.0807417
SMED30014479	67.8477	65.8637	78.8599	72.7632	67.199	61.0314	62.8125	57.7885	64.2284	56.8128
SMED30014480	4.17896	3.83216	2.3368	2.31677	2.87297	4.69725	3.10727	3.32316	2.75838	3.70716
SMED30014481	3.19821	4.16764	2.62843	2.90128	2.03042	2.92581	2.56082	2.23213	2.3709	2.01575
SMED30014482	33.3919	31.299	37.0321	48.826	52.7732	51.1565	75.3084	73.2704	87.3232	79.1098
SMED30014483	0.0167064	0	0	0	0	0	0	0	0	0
SMED30014484	12.1389	9.81313	11.2233	3.58003	0.630331	0.357664	0.142831	0.102767	0.233463	0.120218
SMED30014485	30.1402	33.7444	28.2971	29.5721	35.5494	32.8983	26.9739	28.8201	27.9459	30.4637
SMED30014486	9.94842	10.7049	10.6097	10.419	12.0106	11.908	10.9241	10.4059	11.763	10.7863
SMED30014487	3.01553	2.90149	2.97329	3.7842	4.70963	3.53489	3.17132	2.5599	2.7139	2.46146
SMED30014488	328.577	336.253	344.831	405.244	455.746	514.21	562.322	512.029	458.668	404.279
SMED30014489	0.223891	0.115459	0.191786	0.185313	0.0592383	0.100924	0.0760909	0.0908265	0.0963517	0.0870359
SMED30014490	0	0.0113902	0.0229918	0	0.0120189	0.0221554	0	0.047359	0	0
SMED30014491	103.997	110.715	121.363	142.13	149.607	134.054	125.297	118.855	105.568	111.09
SMED30014492	22.2081	18.2495	13.7942	4.21902	0.744136	1.38505	0.249134	0.212599	0.223201	0.240754
SMED30014493	1014.32	1021.3	909.609	942.321	1041.78	1068.4	990.097	948.332	1021.71	997.34
SMED30014494	5.69964	6.26697	6.28468	6.48914	5.99754	5.58777	7.43507	7.19119	8.06684	6.66732
SMED30014495	5.229	4.08529	5.01674	1.99976	0.686433	0.38535	0.464208	0.33953	0.418663	0.300225
SMED30014496	120.668	103.09	80.6777	88.4335	106.306	134.081	123.43	118.842	125.317	135.126
SMED30014497	1.13451	0.783652	0.665563	0.724249	0.571845	0.786969	0.530476	0.730788	0.514213	0.716895
SMED30014498	7.86967	7.20623	8.90044	8.51165	7.32348	7.12469	6.3422	6.19296	8.74369	7.0271
SMED30014499	3.0796	4.05438	2.12288	1.76647	2.98885	3.61763	1.9343	2.90295	1.28037	2.75157
SMED30014500	111.552	125.145	157.016	153.088	132.478	107.532	126.963	130.766	127.689	118.434
SMED30014501	3.07094	2.83682	1.47112	1.44905	1.70801	3.74209	2.0793	3.59165	1.85075	2.83521
SMED30014502	0.0824693	0.0307563	0	0	0.0258729	0.0301894	0.0107079	0.009842	0.0452923	0.0111962
SMED30014503	0.157556	0.136433	0.147428	0.288469	0.232932	0.325315	0.166837	0.283087	0.293783	0.189826
SMED30014504	9.41842	10.0359	5.45903	5.69892	6.13449	7.51	6.22249	7.62992	7.66268	9.44304
SMED30014505	1.07104	0.920672	1.03029	0.991466	1.26642	0.921227	1.62305	1.77778	2.20992	1.8086
SMED30014506	0.27824	0.119856	0.162178	0.169955	0.110691	0.0821842	0.280164	0.189131	0.270445	0.291164
SMED30014507	1.23218	1.2643	0.653427	0.839684	1.16023	1.49645	1.51628	1.63378	1.72559	1.94962
SMED30014508	1.52459	1.59835	1.26724	1.51795	1.82757	2.0973	1.63455	1.85155	2.3453	2.07432
SMED30014509	0.330452	0.363491	0.10025	0.100511	0.187517	0.286612	0.208216	0.262407	0.245235	0.238186
SMED30014510	12.817	15.9343	13.6203	15.1677	19.3745	18.5538	18.8638	17.4062	17.8517	15.9323
SMED30014511	59.0645	69.9967	77.0816	79.077	83.4378	68.3987	65.5683	63.9041	61.724	60.7596
SMED30014512	15.6839	15.3101	14.0657	16.975	19.8021	19.1484	19.2534	18.7344	19.7462	20.0016
SMED30014513	17.2659	18.0685	19.2908	17.5471	18.2802	16.4668	18.7011	18.6909	19.2271	17.8192
SMED30014514	4.01239	5.49228	10.1109	12.2965	16.6131	10.3449	9.52324	5.42747	6.00838	6.47347
SMED30014515	2.84097	2.65673	2.87275	2.96968	2.80769	2.84737	3.10739	3.27496	3.22603	3.1512
SMED30014516	0	0	0	0	0	0	0	0	0.016183	0
SMED30014517	36.4252	39.9057	41.6898	63.0747	76.3397	72.089	55.596	46.0056	40.8635	48.4794
SMED30014518	7.61747	6.13643	6.78037	1.79874	0.141045	0.197668	0.0697897	0.042456	0.0632631	0.0463012
SMED30014519	185.685	189.809	181.075	195.36	213.257	211.014	217.283	203.299	214.662	201.664
SMED30014520	2.88236	2.62898	1.73351	1.6606	1.93543	3.22798	2.66807	2.92811	1.89599	2.91476
SMED30014521	1.44082	1.60833	1.47139	1.71024	2.34692	2.42196	3.40133	3.63268	4.01675	3.49381
SMED30014522	36.6644	36.3039	37.0406	29.553	16.8339	19.7849	23.5666	24.6727	39.1697	24.8275
SMED30014523	2.06557	1.67329	1.74163	0.523558	0.0359323	0.023014	0.0130238	0.00529776	0.0112793	0.00881543
SMED30014524	2.95899	2.72167	2.40103	2.20629	1.89592	1.71209	2.11626	2.47426	2.29765	2.27885
