Sample	0h	6h	3d	7d	11d
SMED30025144	5.73222	6.40555	6.15215	7.39422	7.15716
SMED30025145	85.3877	86.4842	98.8764	109.152	112.132
SMED30025148	7.79548	10.8858	7.35426	7.46633	7.36519
SMED30025162	0.0560093	0.0227481	0.0765112	0	0.0080362
SMED30025163	1.19085	0.939292	0.927645	0.741818	0.62498
SMED30025170	7.86949	8.05871	8.57267	9.41816	8.98392
SMED30025177	0.977934	1.55091	1.97967	1.76129	2.20445
SMED30025183	0.00798167	0	0	0	0.00572603
SMED30025186	0.787198	0.656145	0.731463	1.17187	1.09194
SMED30025191	0.0586523	0.180199	0.135226	0.121032	0.0744831
SMED30025205	10.6731	11.2958	15.0464	19.8862	21.0759
SMED30025222	37.7695	40.5195	43.8236	48.8419	50.5639
SMED30025224	0.554256	0.542571	0.761149	0.718946	0.904566
SMED30025225	0.0208992	0.138973	0.0216601	0	0.0153265
SMED30025228	0.165228	0.0941023	0.0803823	0.0962887	0.0918246
SMED30025232	13.8538	13.9622	11.9725	13.1687	13.0914
SMED30025235	0.91601	0.911937	0.674371	0.788346	0.910047
SMED30025239	5.86848	6.38232	10.1515	12.6223	13.0657
SMED30025240	30.0881	28.1862	25.7612	14.2382	9.12728
SMED30025247	0.584306	0.588039	0.700017	0.676492	0.753476
SMED30025257	94.0681	97.4623	102.109	109.086	108.748
SMED30025284	1.25895	1.12172	1.338	1.48831	1.42381
SMED30025288	0.252779	0.22979	0.300457	0.787826	1.08646
SMED30025289	0.278483	0.331024	0.181896	0.364524	0.324178
SMED30025291	0	0	0	0	0
SMED30025296	8.61281	8.47792	10.9994	10.7017	11.2927
SMED30025299	6.61609	9.24773	10.8289	12.3584	13.7049
SMED30025318	0.0438176	0.0696551	0.0467719	0.075585	0
SMED30025326	42.9997	38.8943	48.8817	54.7817	51.8712
SMED30025329	15.8607	15.4086	15.8294	16.3803	18.2583
SMED30025330	12.6852	11.5392	10.841	13.5456	12.2315
SMED30025349	0.797863	0.448133	0.163657	0.405292	0.209363
SMED30025351	0.64213	0.441787	0.94858	0.856377	0.658137
SMED30025354	36.8115	34.1372	42.2041	42.8651	40.9494
SMED30025374	4.34695	4.26984	3.26198	2.5788	2.16589
SMED30025379	32.8807	32.0752	30.4613	37.2215	36.2649
SMED30025383	0.390482	0.242096	0.345338	0.136736	0.0913181
SMED30025386	8.73285	8.68231	10.6825	13.2961	12.5357
SMED30025393	1.96873	2.48442	1.36807	1.19417	1.06884
SMED30025397	40.841	42.574	40.362	46.5939	45.9761
SMED30025404	7.02324	6.68141	8.62282	11.2153	10.5407
SMED30025407	28.8632	29.9772	33.1282	39.4485	38.8177
SMED30025431	0.653661	0.531554	0.690476	0.764564	0.647445
SMED30025434	5.49383	6.17842	6.54107	7.34745	7.55395
SMED30025446	0.175414	0.256166	0.182684	0.0318179	0.109807
SMED30025451	52.3342	54.5689	52.6126	58.2054	57.1613
SMED30025453	0.0421175	0.0851833	0.129493	0.128338	0.048314
SMED30025493	2.08387	1.46903	1.24503	0.357829	0.347705
SMED30025507	0.312742	0.309591	0.626079	0.703131	0.657755
SMED30025516	0.190431	0.214746	0.25681	0.192651	0.15037
SMED30025524	1.14433	1.2611	1.10862	1.10654	1.04358
SMED30025540	0.0835216	0.0869719	0.0669408	0.0953883	0.0589475
SMED30025541	0.170914	0.139689	0.24483	0.410069	0.215313
SMED30025544	0	0.0152027	0.0187123	0.0141304	0.0126645
SMED30025546	0.185327	0.132167	0.157448	0.0931656	0.127262
SMED30025573	3.29069	3.20714	3.92237	3.25746	3.16045
SMED30025577	3.52734	3.94339	4.58636	5.10024	4.8323
SMED30025588	11.4327	11.4514	13.6413	15.7036	15.937
SMED30025591	119.88	123.531	130.899	142.321	119.723
SMED30025613	11.2214	9.31729	12.6012	15.5421	16.4487
SMED30025620	0.0280635	0.0559971	0.0560168	0.0186157	0.0216451
SMED30025634	10.2658	12.3103	11.9305	13.4383	12.3872
SMED30025638	0.811097	1.00815	1.20851	1.35115	1.24707
SMED30025639	8.76796	8.54561	6.41533	6.18999	5.93443
SMED30025641	0.24406	0.176169	0.3185	0.235585	0.338779
SMED30025648	3.08267	3.46089	4.3739	6.68435	7.59448
SMED30025665	14.4502	14.5784	15.6392	17.5631	17.2136
SMED30025673	0.292689	0.395104	0.452068	0.23058	0.308969
SMED30025681	0.0662726	0.014283	0.121953	0.0216752	0.037202
